起始乡镇,起始经度,起始纬度,终止乡镇,终止经度,终止纬度,距离(km)
达州市烟草专卖局,107.520835,31.199073,翠屏街道,107.507088,31.197226,1.78
达州市烟草专卖局,107.520835,31.199073,三里坪街道,107.506076,31.202494,1.86
达州市烟草专卖局,107.520835,31.199073,东城街道,107.499935,31.222107,4.67
达州市烟草专卖局,107.520835,31.199073,明月江街道,107.549013,31.169765,9.29
达州市烟草专卖局,107.520835,31.199073,凤西街道,107.456871,31.193058,7.57
古东关街道,108.031565,32.103462,太平镇,108.031565,32.105352,1.02
凤北街道,107.477436,31.261431,西城街道,107.476938,31.258759,0.25
团坝镇,107.224501,30.644776,川主乡,107.223300,30.641231,0.55
青龙镇,106.925407,30.932964,万寿镇,106.925922,30.936646,18.37
磐石镇,107.631507,31.258912,庙安镇,107.631081,31.263319,1.81
米城乡,107.285544,31.285385,赵固镇,107.293068,31.282913,0.74
铁矿镇,108.000820,31.806351,新华镇,107.991790,31.805872,0.09
麻柳镇,107.790681,30.986817,甘棠镇,107.799719,30.990069,6.65
朝阳乡,107.265401,30.758556,东柳街道,107.266208,30.745870,4.99
朝阳街道,107.455468,31.205827,凤西街道,107.456871,31.193058,2.59
双庙镇,107.394500,31.008869,百节镇,107.376132,31.010487,5.07
渠南街道,106.936140,30.825430,中滩镇,106.934232,30.839971,4.72
渠江街道,106.951341,30.862246,渠北镇,106.966929,30.871279,6.58
碑庙镇,107.411557,31.518988,马渡关镇,107.389199,31.522326,19.54
固军镇,108.099619,31.772623,石铁乡,108.112667,31.758321,14.90
平滩镇,107.475690,30.924986,赵家镇,107.470720,30.942147,11.36
乌木镇,107.288490,30.752639,东柳街道,107.266208,30.745870,12.07
竹阳街道,107.213109,30.745910,白塔街道,107.228118,30.761322,4.35
罗文镇,107.734337,31.697060,毛坝镇,107.737922,31.676799,7.05
大沙镇,107.758154,31.895298,黑宝山镇,107.762964,31.874455,9.16
桃花镇,107.872624,31.459932,黄石乡,107.875371,31.438550,9.60
石梯镇,107.143695,31.215195,报恩乡,107.122823,31.199350,3.69
管村镇,107.196022,31.180678,文崇镇,107.200176,31.204719,18.20
岩峰镇,106.994568,31.050532,土溪镇,107.002015,31.074277,6.74
碑庙镇,107.411557,31.518988,青宁镇,107.398466,31.496351,3.50
中华镇,107.106581,30.807546,临巴镇,107.121187,30.830836,19.25
渠江街道,106.951341,30.862246,中滩镇,106.934232,30.839971,10.09
金石镇,107.372375,31.432951,北山镇,107.348509,31.451259,5.84
石板街道,107.470535,31.099912,斌郎街道,107.472941,31.126079,9.30
周家镇,107.311967,30.688333,观音镇,107.342866,30.673865,7.13
大树镇,107.685827,30.901056,任市镇,107.718718,30.888026,8.57
朝阳乡,107.265401,30.758556,白塔街道,107.228118,30.761322,5.88
龙会乡,107.198256,31.151303,管村镇,107.196022,31.180678,8.03
梓桐镇,107.361956,31.543329,马渡关镇,107.389199,31.522326,10.46
景市镇,107.495955,30.964966,赵家镇,107.470720,30.942147,16.38
杨柳街道,107.527664,31.144501,明月江街道,107.549013,31.169765,8.07
杨家镇,107.172932,30.893177,东安镇,107.145252,30.914820,26.76
蒲江街道,107.595838,31.278808,庙安镇,107.631081,31.263319,20.16
定远镇,106.762515,30.788875,有庆镇,106.802866,30.793391,7.13
天星街道,106.976478,30.837175,合力镇,107.001472,30.812403,5.12
渠江街道,106.951341,30.862246,天星街道,106.976478,30.837175,11.34
东岳镇,107.471600,31.296635,双龙镇,107.450972,31.324984,9.93
望溪镇,106.936250,30.689954,鲜渡镇,106.903973,30.712416,5.76
安北乡,107.052644,31.178438,涌兴镇,107.027363,31.150616,11.10
杨通乡,107.255065,30.465968,石子镇,107.295943,30.449838,9.13
东岳镇,107.471600,31.296635,凤北街道,107.477436,31.261431,10.40
旧院镇,108.174795,31.889849,石塘镇,108.171203,31.925898,32.23
月华镇,107.260295,30.795165,朝阳乡,107.265401,30.758556,11.98
芭蕉镇,107.822098,31.235514,天生镇,107.776045,31.223550,12.18
安吉乡,107.542069,30.886804,南岳镇,107.536289,30.848212,11.53
罗江镇,107.500441,31.338282,双龙镇,107.450972,31.324984,15.89
万寿镇,106.925922,30.936646,望江乡,106.876041,30.949976,8.33
东城街道,107.499935,31.222107,西城街道,107.476938,31.258759,9.55
万家镇,107.741395,30.924921,任市镇,107.718718,30.888026,5.02
五宝镇,108.043535,31.540841,峰城镇,107.998618,31.564644,15.98
安仁乡,107.747630,31.012719,麻柳镇,107.790681,30.986817,9.93
童家镇,107.280719,30.570757,高明镇,107.333695,30.581714,9.79
文星镇,107.204254,30.524316,妈妈镇,107.212332,30.566398,7.90
明月江街道,107.549013,31.169765,柏树镇,107.604225,31.174634,18.43
新市镇,106.678254,30.838094,宝城镇,106.731619,30.825660,12.34
大堰镇,107.351869,31.273860,复兴镇,107.403283,31.257056,26.14
定远镇,106.762515,30.788875,宝城镇,106.731619,30.825660,9.60
普安镇,107.801235,31.183953,天生镇,107.776045,31.223550,20.08
石梯镇,107.143695,31.215195,文崇镇,107.200176,31.204719,10.09
李馥镇,107.000152,31.005242,岩峰镇,106.994568,31.050532,16.77
幺塘乡,107.388179,31.192129,河市镇,107.370112,31.148691,12.83
高穴镇,107.131577,30.601687,庙坝镇,107.113269,30.558128,12.08
杨柳街道,107.527664,31.144501,斌郎街道,107.472941,31.126079,19.95
鹰背镇,107.525421,31.726220,河口镇,107.584579,31.719022,12.29
赵固镇,107.293068,31.282913,大堰镇,107.351869,31.273860,15.64
三板镇,106.941782,30.994602,李馥镇,107.000152,31.005242,8.20
石桥镇,107.011603,31.286463,大义乡,106.980165,31.247321,14.87
老君乡,107.809792,31.541425,清溪镇,107.790388,31.497566,15.74
华景镇,108.076974,31.596860,白马镇,108.045102,31.637117,56.30
永胜镇,107.492417,30.814784,南岳镇,107.536289,30.848212,17.33
东安镇,107.145252,30.914820,三汇镇,107.176491,30.957365,32.49
龙凤镇,106.741087,30.954253,拱市乡,106.732691,30.905624,9.95
蒲家镇,107.547353,31.409537,大成镇,107.516191,31.453314,9.24
堡子镇,107.323829,31.327326,赵固镇,107.293068,31.282913,11.17
柏林镇,107.264315,31.004171,渡市镇,107.229441,31.046865,30.46
拱市乡,106.732691,30.905624,清溪场镇,106.794746,30.886687,9.81
安云乡,107.501977,31.504255,大成镇,107.516191,31.453314,21.58
渡市镇,107.229441,31.046865,罐子镇,107.223270,31.099028,26.74
长坝镇,107.923435,31.810209,新华镇,107.991790,31.805872,30.98
童家镇,107.280719,30.570757,妈妈镇,107.212332,30.566398,26.59
君塘镇,107.588605,31.331098,蒲江街道,107.595838,31.278808,16.75
幺塘乡,107.388179,31.192129,凤西街道,107.456871,31.193058,16.78
琅琊镇,106.989140,30.734051,卷硐镇,107.042425,30.768462,16.25
李渡镇,106.923289,30.772738,渠南街道,106.936140,30.825430,19.85
石板街道,107.470535,31.099912,金垭镇,107.401392,31.091381,20.19
亭子镇,107.639932,31.128351,柏树镇,107.604225,31.174634,12.19
卷硐镇,107.042425,30.768462,合力镇,107.001472,30.812403,8.76
八台镇,108.299783,31.911183,蜂桶乡,108.339388,31.865886,43.59
东乡街道,107.677971,31.304358,庙安镇,107.631081,31.263319,11.04
龙会乡,107.198256,31.151303,罐子镇,107.223270,31.099028,9.10
石河镇,107.403462,30.915974,平滩镇,107.475690,30.924986,15.92
复兴镇,107.403283,31.257056,西城街道,107.476938,31.258759,21.85
亭子镇,107.639932,31.128351,回龙镇,107.714148,31.126132,35.34
报恩乡,107.122823,31.199350,安北乡,107.052644,31.178438,19.78
虎让乡,107.220505,31.375416,桥湾镇,107.197306,31.319261,11.41
长岭镇,107.916337,30.898478,八庙镇,107.991913,30.910582,21.51
北山镇,107.348509,31.451259,青宁镇,107.398466,31.496351,9.74
三板镇,106.941782,30.994602,万寿镇,106.925922,30.936646,25.36
淙城街道,107.819349,31.052289,新宁镇,107.885823,31.082860,8.69
琅琊镇,106.989140,30.734051,望溪镇,106.936250,30.689954,45.23
广福镇,107.860032,30.856049,长岭镇,107.916337,30.898478,13.69
黄石乡,107.875371,31.438550,下八镇,107.907644,31.382880,22.48
华景镇,108.076974,31.596860,五宝镇,108.043535,31.540841,41.57
涌兴镇,107.027363,31.150616,贵福镇,106.949421,31.165988,20.13
清河镇,107.249837,30.931326,三汇镇,107.176491,30.957365,56.15
五宝镇,108.043535,31.540841,南坝镇,108.010921,31.484056,16.27
白马镇,108.045102,31.637117,南坪镇,107.963857,31.634314,10.76
中华镇,107.106581,30.807546,卷硐镇,107.042425,30.768462,15.10
魏家镇,107.633059,31.958677,草坝镇,107.673091,32.014365,29.75
安吉乡,107.542069,30.886804,平滩镇,107.475690,30.924986,38.86
淙城街道,107.819349,31.052289,甘棠镇,107.799719,30.990069,19.75
清水镇,107.060210,30.699023,琅琊镇,106.989140,30.734051,31.32
乌木镇,107.288490,30.752639,周家镇,107.311967,30.688333,23.38
罗江镇,107.500441,31.338282,君塘镇,107.588605,31.331098,17.11
灵岩镇,108.087468,31.208031,上峡镇,108.096252,31.275792,34.23
梅家乡,108.053025,31.144988,灵岩镇,108.087468,31.208031,16.92
罐子镇,107.223270,31.099028,丰乐镇,107.136510,31.080307,32.12
青龙镇,106.925407,30.932964,渠北镇,106.966929,30.871279,12.28
井溪镇,108.260458,31.790841,渡口土家族乡,108.268239,31.721199,25.25
河口镇,107.584579,31.719022,红峰镇,107.657898,31.760839,27.09
杨通乡,107.255065,30.465968,文星镇,107.204254,30.524316,14.90
石子镇,107.295943,30.449838,天城镇,107.378995,30.480314,23.80
塔河镇,108.181420,31.327661,茶河镇,108.204540,31.396001,28.71
石板街道,107.470535,31.099912,福善镇,107.543411,31.056401,21.19
碑庙镇,107.411557,31.518988,安云乡,107.501977,31.504255,23.78
高穴镇,107.131577,30.601687,妈妈镇,107.212332,30.566398,14.47
紫溪乡,108.191304,32.224525,官渡镇,108.098527,32.230594,36.07
欧家镇,107.037438,30.515616,庙坝镇,107.113269,30.558128,13.61
万家镇,107.741395,30.924921,麻柳镇,107.790681,30.986817,27.09
曾家乡,107.738978,31.799787,红峰镇,107.657898,31.760839,20.39
桃花镇,107.872624,31.459932,清溪镇,107.790388,31.497566,24.01
南坪镇,107.963857,31.634314,黄金镇,107.879262,31.669252,25.12
柏林镇,107.264315,31.004171,清河镇,107.249837,30.931326,11.44
杨家镇,107.172932,30.893177,临巴镇,107.121187,30.830836,42.11
江陵镇,107.251635,31.453660,北山镇,107.348509,31.451259,17.29
石窝镇,107.611436,31.862798,玉带乡,107.520002,31.888310,13.71
静边镇,106.819750,31.011637,望江乡,106.876041,30.949976,15.22
川主乡,107.223300,30.641231,妈妈镇,107.212332,30.566398,14.35
米城乡,107.285544,31.285385,桥湾镇,107.197306,31.319261,19.67
蒲家镇,107.547353,31.409537,普光镇,107.635486,31.445259,21.85
曾家乡,107.738978,31.799787,黑宝山镇,107.762964,31.874455,25.11
永宁镇,107.961368,32.160868,太平镇,108.031565,32.105352,33.34
清溪场镇,106.794746,30.886687,宝城镇,106.731619,30.825660,12.15
蒲家镇,107.547353,31.409537,罗江镇,107.500441,31.338282,12.09
团坝镇,107.224501,30.644776,周家镇,107.311967,30.688333,18.43
紫溪乡,108.191304,32.224525,大竹镇,108.296194,32.243354,34.00
双庙镇,107.394500,31.008869,金垭镇,107.401392,31.091381,13.37
铁矿镇,108.000820,31.806351,固军镇,108.099619,31.772623,22.43
厂溪镇,107.987113,31.715540,南坪镇,107.963857,31.634314,14.42
土溪镇,107.002015,31.074277,巨光乡,106.894796,31.087557,24.42
龙凤镇,106.741087,30.954253,静边镇,106.819750,31.011637,37.53
塔河镇,108.181420,31.327661,上峡镇,108.096252,31.275792,61.06
永胜镇,107.492417,30.814784,石桥铺镇,107.382349,30.812990,22.72
大义乡,106.980165,31.247321,贵福镇,106.949421,31.165988,28.41
白沙镇,108.313343,32.042662,白果镇,108.420901,32.063773,35.11
讲治镇,108.050244,31.059954,梅家乡,108.053025,31.144988,23.11
柏林镇,107.264315,31.004171,百节镇,107.376132,31.010487,21.25
石铁乡,108.112667,31.758321,樊哙镇,108.148161,31.676626,14.67
罗文镇,107.734337,31.697060,红峰镇,107.657898,31.760839,71.25
樊哙镇,108.148161,31.676626,白马镇,108.045102,31.637117,49.12
普安镇,107.801235,31.183953,回龙镇,107.714148,31.126132,18.01
双庙镇,107.394500,31.008869,赵家镇,107.470720,30.942147,17.60
华景镇,108.076974,31.596860,土黄镇,108.169064,31.539407,26.81
高明镇,107.333695,30.581714,八渡乡,107.453028,30.569785,54.16
乌木镇,107.288490,30.752639,石桥铺镇,107.382349,30.812990,24.93
永兴镇,107.947233,31.194086,梅家乡,108.053025,31.144988,24.72
井溪镇,108.260458,31.790841,蜂桶乡,108.339388,31.865886,38.95
石窝镇,107.611436,31.862798,魏家镇,107.633059,31.958677,21.51
旧院镇,108.174795,31.889849,八台镇,108.299783,31.911183,20.28
毛坝镇,107.737922,31.676799,胡家镇,107.635640,31.616915,31.80
渡口土家族乡,108.268239,31.721199,樊哙镇,108.148161,31.676626,28.37
石塘镇,108.171203,31.925898,沙滩镇,108.035435,31.932888,35.43
永兴镇,107.947233,31.194086,芭蕉镇,107.822098,31.235514,40.83
石窝镇,107.611436,31.862798,红峰镇,107.657898,31.760839,29.07
毛坝镇,107.737922,31.676799,黄金镇,107.879262,31.669252,30.26
桃花镇,107.872624,31.459932,南坝镇,108.010921,31.484056,29.23
四合镇,107.230050,30.352939,石子镇,107.295943,30.449838,16.10
淙城街道,107.819349,31.052289,回龙镇,107.714148,31.126132,30.71
广福镇,107.860032,30.856049,任市镇,107.718718,30.888026,33.53
大竹镇,108.296194,32.243354,庙子乡,108.449877,32.259243,57.80
黄钟镇,107.872684,32.059846,永宁镇,107.961368,32.160868,55.76
土黄镇,108.169064,31.539407,漆树土家族乡,108.320727,31.502094,36.65
官渡镇,108.098527,32.230594,永宁镇,107.961368,32.160868,54.93
清溪镇,107.790388,31.497566,普光镇,107.635486,31.445259,30.71
渡口土家族乡,108.268239,31.721199,三墩土家族乡,108.390273,31.628578,58.58
白沙镇,108.313343,32.042662,八台镇,108.299783,31.911183,25.56
三墩土家族乡,108.390273,31.628578,龙泉土家族乡,108.518649,31.726173,78.23
黄钟镇,107.872684,32.059846,草坝镇,107.673091,32.014365,79.48
永宁镇,107.961368,32.160868,竹峪镇,107.704824,32.282938,68.00
